"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DF-186,Contract,"MINISTRY OF DEFENCE",Open,2024-09-09T12:39:54+01:00,"MOD Data Framework","This Procurement will establish a framework of multiple suppliers for the purchasing of supplier data.

The authority requires the purchase of data, in support of its Supply Chain Management, Development and Resilience activities. 
tender_364019/1410196,Pipeline,"Leidos Supply",Open,2023-10-23T10:04:46+01:00,"Overseas Deployable Food (DFP)","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').

Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.
The Food team, which forms part of Leidos Supply Ltd. is considering the potential requirement for Overseas Deployable Food (ODF) on behalf of the UK Ministry of Defence (MOD). This requirement aims to deliver a cost effective, secure food supply to the British Armed Forces and entitled personnel serving in overseas areas either in permanent or non-permanent locations. This requirement will cover (but will not be limited to) the sourcing and distribution of Food Products, Non-Food Products and beverages to overseas locations as well as to future overseas operations and/or exercises.

The supply of food will be to permanent and non-permanent operations and exercise overseas locations specified by the MOD. An example of these locations include, but are not limited to: British Forces South Atlantic Islands, Kenya, Nepal, Germany, Norway, USA, Belize, Jordan and Oman. Supply requirements to overseas operations and exercises may potentially involve deliveries to hostile and remote locations. 

Potential providers must have the capability and flexibility to establish and manage supply chains for food on a global basis to cope with the demands and surge requirements of the British Armed Forces.

The potential provider shall manage the supply chain to source and deliver fresh, ambient, chilled and frozen food products, as well as catering non-food products, to each permanent and non-permanent location (No. lines may vary depending on location and scope ~400 lines per location). Representative examples of the typical types and range of products are as follows: 

Food Products:
Fresh fruit, vegetables, salad, Ambient, Chilled, and Frozen 

Non-Food Products:
Aluminium foil, cling film, biodegradable cutlery and food handling and cleaning products.

Logistics:
Storage and transportation of food and non-food products worldwide to serve specified MOD permanent and non-permanent overseas locations.
Temporary hire of static frozen, chilled and dry reefer containers with associated power generators and distribution boards and container lifting equipment for non-permanent overseas locations specified by the MOD.

The framework length should not exceed 7 years, and is anticipated to commence in 2026. 

The value of this framework is estimated to be between £100,000,000 - £250,000,000.

If interested, Suppliers may respond to this PIN by 30.11.2024 at midday, in order to receive further information.",,,"Any region","15000000 39310000 60000000 ",,emile.sharpruddock@uk.leidos.com,"The Brooms",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for Overseas Deployable Food (DFP).

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",01/12/2026,30/11/2033,01/01/1,YES,tender_364019/1201656,No,No,No,,100000000,250000000,,,,,,," ",
tender_466191/1407728,Contract,"Ministry of Defence",Open,2024-09-26T14:46:19+01:00,"Supply Chain Notice: FDIS - Lossiemouth External Refurbishments to 4 properties - FY2024/25 - Amey North Region - Scotland","North Region - Scotland
Brief Scope of Works
-	Replacement of the main & porch roof covering
-	Removal of shared asbestos roof to outbuildings and replace with roof covering to match archetype other properties
-	Replacement of garage roof coverings to match adjacent properties
-	Removal of chimneys
-	Itemised replacement of windows and doors to main dwelling, including outer and inner porch doors
-	Redecoration of render to main house
-	Redecoration of garages, including parapet wall behind outbuilding to match colour of main house following redecoration works
-	Redecoration of render to outbuilding to match colour of main house following redecoration works
-	Replace timber doors to outbuilding with PVCu
-	Replacement of &apos;up & over&apos; doors and frames to garage
-	Replacement of fascias and soffits
-	Removal of cast-iron SVP, replace with PVCu and swan neck SVP
-	Removal of cast-iron guttering, downpipes and RWG and replace with PVCu
-	Removal of grab rails to side door at itemised properties (not to be refixed)
-	Repair and re-render low-level front garden boundary wall
-	Replace gates and fencing (6ft) between the house and garage
Amey have been tasked by the Defence Infrastructure Organisation through the Future Defence Infrastructure Service to deliver the Regional Accommodation Maintenance Service for the Central and North Regions.
For Amey to accept any Expression of Interest it is ESSENTIAL that any subcontractor is:
-	willing to act as Main Contractor (essential requirement);
-	a member of Constructionline at GOLD LEVEL 3;
-	capable of working to MOD SFG20 (Pre-Planned Maintenance works only);
-	capable of working in a Building Information Management (BIM) Level 2 environment (where applicable);
-	compliant with DefStan 05-138 (required if you are likely to handle MoD Identifiable Information on your IT system);
-	willing to work with Amey to deliver Social Value to our Client.
DESIRABLE attributes of our Supply Chain:
-	have a Corporate Social Responsibility policy;
-	have a Business Continuity and Disaster Recovery Plan
If successful the subcontractor will need to pass a pre-qualification questionnaire, sign up to Amey Terms and Conditions, and meet the MoD Security Requirements. 
This advert is for Expressions of Interest (BY EMAIL ONLY) - from the responses and our existing subcontractor data base we shall compile the tender list. 
Tender packs will follow separately via our e-tender portal (Curtis Fitch).
Note 1: The bidder must quote for all aspects of the Works.
Note 2: Future works of a similar nature may be negotiated based upon submitted rates.
Note 3: To comply with The Public Contract Regulations 2015, those making an Expression of Interest may be required to sign-up to our 'Sub-contract Agreement' where 'Mini Competitions' or 'Call Offs' may be used to tender works/services.
This opportunity is also advertised on Constructionline.",,,Scotland,"45262690 ","Simon Ridley",simon.ridley@ameydefenceservices.co.uk,"Ministry of Defence, DIO, Amey Defence Services Limited, Swales Pavilion, RAF Wyton",,Huntingdon,"PE28 2EA",England,,,,"https://www.contractsfinder.service.gov.uk/notice/b1169aea-d0b0-45ce-9487-822931edbf5e?origin=SearchResults&p=1 ",,10/03/2025,30/05/2025,03/10/2024,NO,,Yes,No,No,Works,348000,,,,,,,,"CompetitiveQuotationNonOJEU ",,23:59
tender_466297/1408202,PreProcurement,"Ministry of Defence",Open,2024-09-25T10:06:36+01:00,"CORTISONE - Deployed Healthcare Application Market Engagement","Programme Cortisone addresses the need to record, manage and exploit all healthcare information generated by the Defence Medical Services (DMS) when delivering patient focussed healthcare. The programme seeks to inform the potential procurement of healthcare information services for use in deployed and disconnected environments.

This Prior Information Notice (PIN) is to notify the supplier community of potential market engagement opportunities which may inform potential procurement activity.

The objectives of market engagement activities relating to this PIN are for the Authority
to:
1. Better understand relevant products that may provide part or all of the
capabilities required.
2. Better understand what the market can provide in relation to the services
required.
3. Better understand the routes to market which could provide access to relevant
products and services.
4. Inform a Programme delivery model assessment for the described capabilities.

Please see the attached document under the DSP listing available via the following link: https://contracts.mod.uk/esop/guest/go/opportunity/detail?opportunityId=58788

If your products provide any of the capabilities discussed in this PIN and you are interested in being involved in future market engagement activities, please email UKStratComDD-CIS-ASD-MISEngage@mod.gov.uk with a completed copy of the form provided within the document attached to the listing. 

For more information, please contact  UKStratComDD-CIS-ASD-MISEngage@mod.gov.uk.",,,"Any region","48180000 ",,UKStratComDD-CIS-ASD-MISEngage@mod.gov.uk,"MOD Corsham, Westwells Road",,Corsham,"SN13 9NR",England,,,"20240924-CORTISONE Deployed Prior Information Notice V1_0.pdf ","https://contracts.mod.uk/esop/guest/go/opportunity/detail?opportunityId=58788 ",,01/01/1,01/01/1,19/09/2025,NO,,Yes,No,No,,,,,,,,,," ",
"Defence Medical Services Research Steering Group March 2025",PreProcurement,"MINISTRY OF DEFENCE",Open,2024-09-20T15:14:52+01:00,"Defence Medical Services Research Steering Group","Defence Medical Services Research Steering Group (DMSRSG) is the primary mechanism through which the DMS endorses and funds research activity. The research project must be of military relevance, scientifically robust, and offer value for money.

DMSRSG supports military-relevant medical research. Projects are not restricted to a particular methodological approach or technology readiness level (TRL). We will support foundational science through to applied research. Where foundational science / early TRL activity is proposed there must be a feasible pathway to impact on clinical delivery or operational capability.

Research must be predominantly medical or healthcare focused and we welcome qualitative, quantitative, and mixed methods research.

There is no limit on the amount of funding that can be requested per application. However, the overall commitment budget at any one DMSRSG meeting is approximately £500k and we support multiple proposals at each round. Funding requests should always be commensurate with the activity proposed and can be multi-year.

Priority areas are outlined in the calling notice.",,,"United Kingdom","73000000 ","Ana Cotfasa",ana.cotfasa100@mod.gov.uk,"MAIN BUILDING WHITEHALL",,LONDON,SW1A2HB,England,,,"20240223 DMSRSG HDB CALLING NOTICE EXTERNAL O.docx DMS Research Strategic Delivery Plan 2021 v1.0.pdf DMSRSG Expression of Interest v1.0.docx ",,,,,10/01/2025,NO,,No,No,No,,,,,,,,,," ",
tender_464313/1403703,Pipeline,"Ministry of Defence",Open,2024-09-11T14:28:55+01:00,"FDIS - Woodbridge LPG Network Replacement (D&B) for 200 properties - FY2024/25 - Amey Central Region - East","Central Region - East - Woodbridge, Suffolk - LPG Network Replacement for 200 properties 
Brief scope of works:
-	Initial Isolation, Degassing and Temporary Supply Installation
-	Network Design
-	Construction
-	Pressure Testing and Phased Commissioning
-	Site Reinstatement and Handover
Amey have been tasked by the Defence Infrastructure Organisation through the Future Defence Infrastructure Service to deliver the Regional Accommodation Maintenance Service for the Central and North Regions.
For Amey to accept any Expression of Interest it is ESSENTIAL that any subcontractor is:
-	willing to act as Main Contractor (essential requirement);
-	a member of Constructionline at GOLD LEVEL 3;
-	capable of working in a Building Information Management (BIM) Level 2 environment (where applicable);
-	compliant with DefStan 05-138 (required if you are likely to handle MoD Identifiable Information on your IT system);
-	willing to work with Amey to deliver Social Value to our Client.
DESIRABLE attributes of our Supply Chain:
-	have a Corporate Social Responsibility policy;
-	have a Business Continuity and Disaster Recovery Plan
If successful the subcontractor will need to pass a pre-qualification questionnaire, sign up to Amey Terms and Conditions, and meet the MoD Security Requirements. 
This advert is for Expressions of Interest (BY EMAIL ONLY) - from the responses and our existing subcontractor data base we shall compile the tender list. 
Tender packs will follow separately via our e-tender portal (Curtis Fitch).
Note 1: The bidder must quote for all aspects of the Works.
Note 2: Future works of a similar nature may be negotiated based upon submitted rates.
Note 3: To comply with The Public Contract Regulations 2015, those making an Expression of Interest may be required to sign-up to our 'Sub-contract Agreement' where 'Mini Competitions' or 'Call Offs' may be used to tender works/services.
Note 4: For complex projects such as External Wall Insulation installation, Structural works etc. it is a requirement that the bidder must carry Professional Indemnity Insurance cover of not less than £1,000,000.
This opportunity is also advertised on Constructionline.",,,"East of England","45231221 ","Simon Ridley",simon.ridley@ameydefenceservices.co.uk,"Ministry of Defence, DIO, Amey Defence Services Limited, Swales Pavilion, RAF Wyton",,Huntingdon,"PE28 2EA",England,,,,,,06/01/2025,30/05/2025,01/01/1,NO,,Yes,No,No,,870000,,,,,,,," ",
tender_369001/1409954,Contract,"Ministry of Defence",Open,2024-09-30T22:22:37+01:00,"Science and Technology Oriented Research and development in Missile defence (STORM)","Contract Bidder Notice - the shortlist of tenderers are:
Airbus Defence and Space Ltd
BAE Systems Operations Ltd
Frazer- Nash Consultancy Ltd
Leonardo UK Ltd
Lockheed Martin UK Ampthill Ltd
PriceWaterhouseCoopers LLP
QinetiQ Ltd
Roke Manor Research Ltd

PIN: https://www.find-tender.service.gov.uk/Notice/013807-2023?
CN: https://www.find-tender.service.gov.uk/Notice/020362-2024?",,"GU14 0LX","Any region","73410000 ","Chris Redwood",christopher.redwood102@mod.gov.uk,"UK Missile Defence Centre, Room 2.59-G, Building A5, Cody Technology Park",,Farnborough,"GU14 0LX",England,,,,,,30/06/2025,29/06/2031,08/11/2024,NO,,No,No,No,Services,110000000,251000000,,,,,,,"CompetitiveProcedureWithNegotiationOJEU ",,23:59
"IT-501-12-Proc 187",Contract,"East Suffolk Council",Open,2023-04-18T11:16:10+01:00,"Coastal Partnership East: Coastal Management DPS","This is an update to the existing DPS previously published on Delta under the below links.
      Due to a change in software this has now moved to this platform.
      
      The works covered by this contract include small and medium scale coastal defence works and may include repair or replacement of sections of coastal defences of varying types, handrail and fencing repairs and maintenance as well as other minor civil engineering and general building works. The scope of works is further expanded to include cliff top areas to include footpaths and fencing as well as minor repairs to cliff and promenade areas.
      
      Previous Links to the documents are below:
      
      Lot 1: http://www.delta-esourcing.com/tenders/UK-UK-Woodbridge:-Coastal-defence-works./5J47B5K7E2
      
      Lot 2: http://www.delta-esourcing.com/tenders/UK-UK-Woodbridge:-Coastal-defence-works./27TF5B83JU
      
      Lot 3: http://www.delta-esourcing.com/tenders/UK-UK-Woodbridge:-Coastal-defence-works./FPD6RN3B9S
      
      Original TED notice 2018/S 086-192675.
      
      Lot 4: http://www.delta-esourcing.com/tenders/UK-UK-Woodbridge:-Coastal-defence-works./UERZ5F4325",,"NR33 0EQ","East of England","45243000 ","Mark Fisher",mark.fisher@eastsuffolk.gov.uk,"Canning Road,",Lowestoft,Suffolk,"NR33 0EQ","United Kingdom","'+44 1502523671",www.eastsuffolk.gov.uk,,"https://in-tendhost.co.uk/eastsuffolk/aspx/ ","The tender documentation is free to access on the following link.

https://in-tendhost.co.uk/eastsuffolk

Is a Recurrent Procurement Type? : No",19/05/2028,20/05/2028,18/05/2028,NO,,Yes,Yes,No,Works,0,50000000,,,,,,,"RestrictedOJEU ",,10:32
"Notification for Operating in the Future Electromagnetic Environment Symposium 2024",Pipeline,"Defence Science and Technology Laboratory",Open,2024-07-11T10:43:49+01:00,"Notification for Operating in the Future Electromagnetic Environment Symposium 2024","Dear Supplier,

The Defence Science and Technology Laboratory (Dstl) will host its fifth Operating in the Future Electromagnetic Environment (OFEME) symposium from the 19th to 21st November 2024 at the Scottish Events Campus, Glasgow. Supported by the Electromagnetic Environment (EME) Hub, academics, suppliers (including small and medium-sized enterprises) and colleagues from the Ministry of Defence (MOD) and other government departments are all invited to attend this FREE event in person or online.

This year the OFEME symposium has expanded its scope to include more content on future sensing, Position, Navigation and Timing (PNT), space and communications technologies.  With over 40 sessions to attend, there is no shortage of choice.

Symposium details
The event will cover:
•	shared challenges for operating within the future electromagnetic environment inside and outside of Defence.
•	how research and development investment can be harnessed in future approaches.
It will feature:
•	A range of keynote speakers
•	Technical presentations
•	Panel discussions
•	Poster sessions
•	Interactive workshops
•	Networking sessions
These activities will cover advances and implications of a variety of technical topics including:
•	AI-enhanced signal processing, decision making and assurance
•	Quantum sensing, timing and communications
•	Future antennas
•	Resilient PNT
•	Enabling and exploiting on autonomous systems
•	Operating in the future EME
•	Electronic systems
•	The future of sensing
For more information, please visit the news story at https://www.gov.uk/government/news/ofeme-symposium-to-be-biggest-so-far 

Pre-register for this event
To attend this symposium, you need to pre-register your interest. Please complete the online EOI form to request an invitation to the event: https://forms.office.com/e/i9vsVDMWqL by 5.00pm on Friday 4th October 2024.

After reviewing your details, we will then send you a link to complete the symposium delegate registration process.

Poster presentations - 
We invite you to submit a technical poster for presentation, which will be on display throughout the symposium. Some authors will also be invited to give lightning talks based on their poster abstracts.

To be considered for a poster presentation, please submit a max. 300-word poster abstract using the online form: https://forms.office.com/e/JuDRStPXy5 by 5.00pm on Thursday 29th August 2024. 

Applicants will be informed of the outcome of their submission by Thursday 19th September 2024.

Any information that is to be presented by any party at this symposium and further that is detailed within this event will be deemed to be in the public domain and therefore will not require further approval for its use by the receiving parties not withstanding any rights of ownership of information set in law.

Please contact the EME Hub emehub@mailbox.lboro.ac.uk if you have any questions.

We look forward to welcoming you to Glasgow in November.

 
The OFEME 2024 Organising Team",,"G3 8YW",,"30237475 34700000 34932000 34933000 35120000 35200000 35300000 35400000 35500000 35600000 38000000 73000000 ","EME Hub",emehub@mailbox.lboro.ac.uk,"Porton Down",,SALISBURY,"SP4 0JQ",England,,https://www.gov.uk/government/news/ofeme-symposium-to-be-biggest-so-far,,"https://forms.office.com/e/i9vsVDMWqL ",,19/11/2024,21/11/2024,18/11/2024,NO,,Yes,Yes,No,,0,1,,,,,,,"Other Prior Information Notice - Event Notification",
tender_467397/1410190,Pipeline,"Ministry of Defence",Open,2024-10-01T12:39:37+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 42093.01 - Flooring","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Supply and installation of raised access floors. Provision of finishes to floors including but not limited to carpet on latex screed, vinyl on latex screed, non-slip paint, painted MDF skirting, coved vinyl and barrier matting.",,"ST18 0AQ","West Midlands","45432110 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,917012,,,,,,,," ",
tender_467369/1410155,Pipeline,"Ministry of Defence",Open,2024-10-01T11:56:26+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41173.01 Flat Roofing","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Installation and provision of flat roofing to 3nr new build assets including, but not limited to, roof canopies and roof drainage.",,"ST18 0AQ","West Midlands","45260000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,1266389,,,,,,,," ",
tender_467358/1410110,Pipeline,"Ministry of Defence",Open,2024-10-01T11:21:15+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 439093.01 Fire Stopping","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
The Subcontractor is to provide and maintain temporary fire stopping to partitions to ensure compliance with the project fire risk assessment.
Fire stopping to all service penetrations, this includes but is not limited to:
Ductwork, Soil and Vent Pipes, Electrical containment trays & cables, Comms Cabling, Water pipes, Sprinkler pipes, All associated system dampers, Plantrooms, Substations.
Fire stopping to complete and maintain internal fire compartmentalisation.",,"ST18 0AQ","West Midlands","45343100 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,605318,,,,,,,," ",
tender_467350/1410083,Pipeline,"Ministry of Defence",Open,2024-10-01T11:03:37+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 44051.01 Fencing","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Provision and installation of exterior permanent fencing.",,"ST18 0AQ","West Midlands","45340000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,172501,,,,,,,," ",
tender_467344/1410072,Pipeline,"Ministry of Defence",Open,2024-10-01T10:47:15+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 25057.01 Facades and Envelope","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Design, manufacture and installation of solar panels, curtain walling, horizontal solar/rain screens for new build and refurbishment assets across the site.",,"ST18 0AQ","West Midlands","45443000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,2341620,,,,,,,," ",
tender_467310/1409976,Pipeline,"Ministry of Defence",Open,2024-10-01T09:19:51+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 44052.01 MUGA","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Installation of a MUGA 3G pitch including associated earthworks, retaining walls and ground floor slab.",,"ST18 0AQ","West Midlands","45212200 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,2200000,,,,,,,," ",
